genome,strain_name,name,species
GCA_003352825.1,NRRL B-442,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_000010005.1,JCM 1112,Lactobacillus reuteri,Lactobacillus reuteri
GCF_000016825.1,DSM 20016,Lactobacillus reuteri,Lactobacillus reuteri
GCF_000014445.1,ATCC 8293,Leuconostoc mesenteroides subsp. mesenteroides,Leuconostoc mesenteroides
GCF_000014425.1,ATCC 33323,Lactobacillus gasseri,Lactobacillus gasseri
GCF_000091765.1,ST1,Lactobacillus panis,Lactobacillus panis
GCF_000056065.1,ATCC 11842,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus delbrueckii
GCF_000143745.1,ATCC 14917,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum
GCF_000146325.1,DSM 20284,Pediococcus acidilactici,Pediococcus acidilactici
GCF_000092505.1,IMSNU 11154,Leuconostoc kimchii,Leuconostoc kimchii
GCF_000159355.1,ATCC 33200,Lactobacillus johnsonii,Lactobacillus johnsonii
GCF_000159315.1,ATCC 8290,Lactobacillus hilgardii,Lactobacillus hilgardii
GCF_000159215.1,ATCC 14931,Lactobacillus fermentum,Lactobacillus fermentum
GCF_000159495.1,ATCC 25302,Lactobacillus paracasei subsp. paracasei,Lactobacillus paracasei
GCF_000159435.1,ATCC 49540,Lactobacillus vaginalis,Lactobacillus vaginalis
GCF_000159415.1,DSM 16047,Lactobacillus ultunensis,Lactobacillus ultunensis
GCF_000159395.1,ATCC 11741,Lactobacillus salivarius,Lactobacillus salivarius
GCF_000160875.1,DSM 13335,Lactobacillus iners,Lactobacillus iners
GCF_000160855.1,DSM 20075,Lactobacillus helveticus,Lactobacillus helveticus
GCF_000160835.1,DSM 16041,Lactobacillus antri,Lactobacillus antri
GCF_000160595.1,ATCC 19254,Leuconostoc mesenteroides subsp. cremoris,Leuconostoc mesenteroides
GCF_000160575.1,ATCC 33313,Weissella paramesenteroides,Weissella paramesenteroides
GCF_000166715.1,KCTC 3527,Leuconostoc gelidum subsp. gelidum,Leuconostoc gelidum
GCF_000165675.1,KCTC 3537,Leuconostoc fallax,Leuconostoc fallax
GCF_000166735.1,KCTC 3774,Leuconostoc inhae,Leuconostoc inhae
GCF_000166795.1,KCTC 3167,Lactobacillus coryniformis subsp. coryniformis,Lactobacillus coryniformis
GCF_000178475.1,DSM 11664,Lactobacillus amylolyticus,Lactobacillus amylolyticus
GCF_000184535.1,KCTC 3681,Lactobacillus farciminis,Lactobacillus farciminis
GCF_000184285.1,KCTC 3535,Lactobacillus coryniformis subsp. torquens,Lactobacillus coryniformis
GCF_000183825.1,KCTC 3501,Lactobacillus animalis,Lactobacillus animalis
GCF_000185465.1,KCTC 3543,Lactobacillus fructivorans,Lactobacillus fructivorans
GCF_000185045.1,KCTC 3544,Fructobacillus fructosus,Fructobacillus fructosus
GCF_000192165.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis,Lactobacillus delbrueckii
GCF_000196855.1,LMG 18811,Leuconostoc gasicomitatum,Leuconostoc gasicomitatum
GCF_000237995.1,ATCC BAA-344,Pediococcus claussenii,Pediococcus claussenii
GCF_000255495.1,DSM 20605,Lactobacillus vini,Lactobacillus vini
GCF_000241055.1,DSM 17330,Oenococcus kitaharae,Oenococcus kitaharae
GCF_000260775.1,KCTC 3548,Lactobacillus malefermentans,Lactobacillus malefermentans
GCF_000260455.1,KCTC 3814,Lactobacillus versmoldensis,Lactobacillus versmoldensis
GCF_000260395.1,KCTC 3549,Lactobacillus suebicus,Lactobacillus suebicus
GCF_000277855.1,DSM 15814,Lactobacillus rossiae,Lactobacillus rossiae
GCF_000297025.1,CRBIP 24.76,Lactobacillus pasteurii,Lactobacillus pasteurii
GCF_000296855.1,CRBIP 24.85,Lactobacillus gigeriorum,Lactobacillus gigeriorum
GCF_000296835.1,CRBIP 24.179,Lactobacillus hominis,Lactobacillus hominis
GCF_000309445.1,DSM 20252,Oenococcus oeni,Oenococcus oeni
GCF_000309665.1,M36,Lactobacillus similis,Lactobacillus similis
GCF_000319265.1,NGRI 0510Q,Pediococcus lolii,Pediococcus lolii
GCF_000312645.1,CIP 110162,Lactobacillus equicursoris,Lactobacillus equicursoris
GCF_000372485.1,DSM 20252,Oenococcus oeni,Oenococcus oeni
GCF_000349725.1,E100301,Lactobacillus pobuzihii,Lactobacillus pobuzihii
GCF_000387565.1,ZN7a-9,Lactobacillus delbrueckii subsp. jakobsenii,Lactobacillus delbrueckii
GCF_000415925.1,JCM 15040,Lactobacillus otakiensis,Lactobacillus otakiensis
GCF_000425905.1,DSM 15354,Lactobacillus psittaci,Lactobacillus psittaci
GCF_000425885.1,DSM 16991,Lactobacillus harbinensis,Lactobacillus harbinensis
GCF_000423265.1,DSM 16049,Lactobacillus saerimneri,Lactobacillus saerimneri
GCF_000423245.1,DSM 22408,Lactobacillus ceti,Lactobacillus ceti
GCF_000420365.1,DSM 20190,Weissella halotolerans,Weissella halotolerans
GCF_000428925.1,DSM 15814,Lactobacillus rossiae,Lactobacillus rossiae
GCF_000428085.1,DSM 17330,Oenococcus kitaharae,Oenococcus kitaharae
GCF_000469325.1,LY-73,Lactobacillus shenzhenensis,Lactobacillus shenzhenensis
GCF_000469705.1,CIP 76.13,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000469365.1,ATCC 14869,Lactobacillus brevis,Lactobacillus brevis
GCF_000498955.2,DSM 21115,Lactobacillus fabifermentans,Lactobacillus fabifermentans
GCF_000498955.1,DSM 21115,Lactobacillus fabifermentans,Lactobacillus fabifermentans
GCF_000615095.1,JCM 1012,Lactobacillus delbrueckii subsp. delbrueckii,Lactobacillus delbrueckii
GCF_000612445.1,JCM 15457,Lactobacillus sucicola,Lactobacillus sucicola
GCF_000614735.1,JCM 2011,Lactobacillus gallinarum,Lactobacillus gallinarum
GCF_000583695.1,JCM 14202,Lactobacillus composti,Lactobacillus composti
GCF_000583655.1,JCM 14108,Lactobacillus farraginis,Lactobacillus farraginis
GCF_000615725.1,JCM 10415,Lactobacillus paralimentarius,Lactobacillus paralimentarius
GCF_000615685.1,JCM 6985,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Lactobacillus kefiranofaciens
GCF_000615445.1,JCM 6256,Lactobacillus hamsteri,Lactobacillus hamsteri
GCF_000615165.1,JCM 1132,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000615365.1,JCM 1157,Lactobacillus sakei subsp. sakei,Lactobacillus sakei
GCF_000615325.1,JCM 1149,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum
GCF_000615285.1,JCM 1039,Lactobacillus kitasatonis,Lactobacillus kitasatonis
GCF_000615245.1,JCM 1136,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_000615205.1,JCM 1134,Lactobacillus casei subsp. casei,Lactobacillus casei
GCF_000615125.1,JCM 1131,Lactobacillus gasseri,Lactobacillus gasseri
GCF_000615885.1,JCM 16172,Lactobacillus apodemi,Lactobacillus apodemi
GCF_000615805.1,JCM 11249,Lactobacillus fuchuensis,Lactobacillus fuchuensis
GCF_000615905.1,JCM 14932,Lactobacillus nodensis,Lactobacillus nodensis
GCF_000615845.1,JCM 14209,Lactobacillus hayakitensis,Lactobacillus hayakitensis
GCF_000615765.1,JCM 10991,Lactobacillus equi,Lactobacillus equi
GCF_000691805.2,SG25,Weissella oryzae,Weissella oryzae
GCF_000691805.1,SG25,Weissella oryzae,Weissella oryzae
GCF_000740055.1,SG293,Lactobacillus oryzae,Lactobacillus oryzae
GCF_000785105.2,CCTCC M 2011381,Lactobacillus curieae,Lactobacillus curieae
GCF_000786395.1,ATCC 4356,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_000785105.1,CCTCC M 2011381,Lactobacillus curieae,Lactobacillus curieae
GCF_000829055.1,ATCC 393,Lactobacillus casei subsp. casei,Lactobacillus casei
GCF_000829035.1,JCM 8130,Lactobacillus paracasei subsp. paracasei,Lactobacillus paracasei
GCF_000831645.3,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000831645.2,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000831645.1,DSM 28069,Lactobacillus heilongjiangensis,Lactobacillus heilongjiangensis
GCF_000829395.1,LOOC260,Lactobacillus hokkaidonensis,Lactobacillus hokkaidonensis
GCF_000876205.1,WDC04,Lactobacillus wasatchensis,Lactobacillus wasatchensis
GCF_000967195.1,Biut2,Lactobacillus kullabergensis,Lactobacillus kullabergensis
GCF_000965255.1,LP38,Lactobacillus hammesii,Lactobacillus hammesii
GCF_000970855.1,Bma5,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis
GCF_000970795.1,Bin4,Lactobacillus mellifer,Lactobacillus mellifer
GCF_000970775.1,Hma8,Lactobacillus melliventris,Lactobacillus melliventris
GCF_000970755.1,Hma2,Lactobacillus kimbladii,Lactobacillus kimbladii
GCF_000967245.1,Hon2,Lactobacillus mellis,Lactobacillus mellis
GCF_001008755.1,ATCC 27780,Lactobacillus ruminis,Lactobacillus ruminis
GCF_001039045.1,TCF032-E4,Lactobacillus herbarum,Lactobacillus herbarum
GCF_001027985.1,DSM 6035,Lactobacillus panis,Lactobacillus panis
GCF_001047075.2,JCM 12225,Fructobacillus ficulneus,Fructobacillus ficulneus
GCF_001047095.2,NRIC 1058,Fructobacillus fructosus,Fructobacillus fructosus
GCF_001047115.2,DSM 15468,Fructobacillus pseudoficulneus,Fructobacillus pseudoficulneus
GCF_001047135.2,F214-1,Fructobacillus tropaeoli,Fructobacillus tropaeoli
GCF_001047695.1,DSM 20484,Leuconostoc mesenteroides subsp. dextranicum,Leuconostoc mesenteroides
GCF_001047135.1,F214-1,Fructobacillus tropaeoli,Fructobacillus tropaeoli
GCF_001047115.1,DSM 15468,Fructobacillus pseudoficulneus,Fructobacillus pseudoficulneus
GCF_001047095.1,NRIC 1058,Fructobacillus fructosus,Fructobacillus fructosus
GCF_001047075.1,JCM 12225,Fructobacillus ficulneus,Fructobacillus ficulneus
GCF_001190005.1,JCM 17838,Lactobacillus delbrueckii subsp. sunkii,Lactobacillus delbrueckii
GCF_001189855.1,JCM 15610,Lactobacillus delbrueckii subsp. indicus,Lactobacillus delbrueckii
GCF_001293735.1,KZ01,Lactobacillus gorillae,Lactobacillus gorillae
GCF_001281265.1,YH-15,Lactobacillus kunkeei,Lactobacillus kunkeei
GCF_001281175.1,Fhon13,Lactobacillus apinorum,Lactobacillus apinorum
GCF_001311135.1,JCM 11969,Lactobacillus paracollinoides,Lactobacillus paracollinoides
GCF_001311115.1,JCM 11027,Lactobacillus lindneri,Lactobacillus lindneri
GCF_001311095.1,JCM 10707,Lactobacillus kimchii,Lactobacillus kimchii
GCF_001311075.1,JCM 2765,Lactobacillus similis,Lactobacillus similis
GCF_001311055.1,JCM 1186,Lactobacillus sharpeae,Lactobacillus sharpeae
GCF_001311425.1,JCM 15041,Lactobacillus kisonensis,Lactobacillus kisonensis
GCF_001311395.1,JCM 15040,Lactobacillus otakiensis,Lactobacillus otakiensis
GCF_001311375.1,JCM 14505,Lactobacillus equigenerosi,Lactobacillus equigenerosi
GCF_001311355.1,JCM 14109,Lactobacillus parafarraginis,Lactobacillus parafarraginis
GCF_001311335.1,JCM 8572,Lactobacillus kefiranofaciens subsp. kefirgranum,Lactobacillus kefiranofaciens
GCF_001311275.1,JCM 1002,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus delbrueckii
GCF_001311255.1,JCM 17158,Lactobacillus nasuensis,Lactobacillus nasuensis
GCF_001311195.1,JCM 13995,Lactobacillus camelliae,Lactobacillus camelliae
GCF_001311175.1,JCM 12539,Lactobacillus pantheris,Lactobacillus pantheris
GCF_001311525.1,JCM 18671,Lactobacillus oryzae,Lactobacillus oryzae
GCF_001311505.1,JCM 18461,Lactobacillus hokkaidonensis,Lactobacillus hokkaidonensis
GCF_001311445.1,JCM 15042,Lactobacillus rapi,Lactobacillus rapi
GCF_001313225.1,JCM 19001,Lactobacillus silagei,Lactobacillus silagei
GCF_001313185.1,JCM 15043,Lactobacillus odoratitofui,Lactobacillus odoratitofui
GCF_001312865.1,JCM 13996,Lactobacillus thailandensis,Lactobacillus thailandensis
GCF_001312845.1,JCM 1123,Lactobacillus collinoides,Lactobacillus collinoides
GCF_001312065.1,JCM 17472,Lactobacillus senioris,Lactobacillus senioris
GCF_001312045.1,JCM 12392,Lactobacillus satsumensis,Lactobacillus satsumensis
GCF_001311785.1,JCM 17471,Lactobacillus saniviri,Lactobacillus saniviri
GCF_001311765.1,JCM 14600,Lactobacillus equicursoris,Lactobacillus equicursoris
GCF_001433875.1,DSM 20074,Lactobacillus delbrueckii subsp. delbrueckii,Lactobacillus delbrueckii
GCF_001433855.1,DSM 20054,Lactobacillus brevis,Lactobacillus brevis
GCF_001433815.1,KCTC 13174,Lactobacillus pobuzihii,Lactobacillus pobuzihii
GCF_001433825.1,DSM 12361,Lactobacillus kunkeei,Lactobacillus kunkeei
GCF_001433755.1,DSM 20314,Lactobacillus pentosus,Lactobacillus pentosus
GCF_001433765.1,DSM 20001,Lactobacillus coryniformis subsp. coryniformis,Lactobacillus coryniformis
GCF_001433735.1,DSM 20011,Lactobacillus casei subsp. casei,Lactobacillus casei
GCF_001433745.1,DSM 20178,Lactobacillus zeae,Lactobacillus zeae
GCF_001434115.1,DSM 19395,Lactobacillus zymae,Lactobacillus zymae
GCF_001434095.1,DSM 20203,Lactobacillus fructivorans,Lactobacillus fructivorans
GCF_001434055.1,ATCC 53295,Lactobacillus parabrevis,Lactobacillus parabrevis
GCF_001434065.1,DSM 20017,Lactobacillus sakei subsp. sakei,Lactobacillus sakei
GCF_001433995.1,JCM 15530,Lactobacillus kimchicus,Lactobacillus kimchicus
GCF_001433985.1,DSM 20531,Lactobacillus amylovorus,Lactobacillus amylovorus
GCF_001433975.1,ATCC 33200,Lactobacillus johnsonii,Lactobacillus johnsonii
GCF_001434005.1,DSM 20584,Lactobacillus crispatus,Lactobacillus crispatus
GCF_001433915.1,DSM 23907,Lactobacillus pasteurii,Lactobacillus pasteurii
GCF_001433895.1,DSM 20079,Lactobacillus acidophilus,Lactobacillus acidophilus
GCF_001434315.1,DSM 15707,Lactobacillus oligofermentans,Lactobacillus oligofermentans
GCF_001434295.1,DSM 14857,Lactobacillus versmoldensis,Lactobacillus versmoldensis
GCF_001434255.1,DSM 14421,Lactobacillus diolivorans,Lactobacillus diolivorans
GCF_001434275.1,DSM 14500,Lactobacillus mindensis,Lactobacillus mindensis
GCF_001434225.1,DSM 13675,Lactobacillus nagelii,Lactobacillus nagelii
GCF_001434195.1,DSM 10550,Lactobacillus kefiranofaciens subsp. kefirgranum,Lactobacillus kefiranofaciens
GCF_001434175.1,CGMCC 1.2437,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum
GCF_001434135.1,DSM 19906,Lactobacillus kisonensis,Lactobacillus kisonensis
GCF_001434145.1,DSM 19908,Lactobacillus otakiensis,Lactobacillus otakiensis
GCF_001434535.1,DSM 20602,Lactobacillus animalis,Lactobacillus animalis
GCF_001434515.1,DSM 5661,Lactobacillus hamsteri,Lactobacillus hamsteri
GCF_001434475.1,DSM 5007,Lactobacillus suebicus,Lactobacillus suebicus
GCF_001434465.1,DSM 4864,Lactobacillus oris,Lactobacillus oris
GCF_001434455.1,DSM 18933,Lactobacillus hayakitensis,Lactobacillus hayakitensis
GCF_001434435.1,DSM 16761,Lactobacillus kitasatonis,Lactobacillus kitasatonis
GCF_001434395.1,DSM 16381,Lactobacillus hammesii,Lactobacillus hammesii
GCF_001434405.1,DSM 16634,Lactobacillus apodemi,Lactobacillus apodemi
GCF_001434365.1,DSM 16045,Lactobacillus gastricus,Lactobacillus gastricus
GCF_001434335.1,DSM 16043,Lactobacillus kalixensis,Lactobacillus kalixensis
GCF_001434735.1,DSM 20057,Lactobacillus buchneri,Lactobacillus buchneri
GCF_001434705.1,JCM 17158,Lactobacillus nasuensis,Lactobacillus nasuensis
GCF_001434695.1,DSM 15638,Lactobacillus algidus,Lactobacillus algidus
GCF_001434665.1,DSM 20183,Lactobacillus tucceti,Lactobacillus tucceti
GCF_001434655.1,DSM 20176,Lactobacillus hilgardii,Lactobacillus hilgardii
